hash,string,length,frequency,field_count
ee40ebee27f0ae222559b5061ef1b907,"London: Printed: and sold by B. Bragge, in Ave-Mary-Lane, 1705",62,2,2
4316d4d67bcfcc2710edc9fa4c6abccb,"Washington, DC: 1939",20,2,2
64176397cba6013a197040c97f8bcdfa,"Paris: Baudry's European Library, (Casimir), 1838",49,2,2
a8ca9442db7ec59e5084222b2b0b2bdb,"Hamburg: Deutsche Grammophon, p2003",35,2,2
d6125c584ffa55dfd8dc1eeae6a341e3,London: J. Clayton and Son [etc.],33,2,2
6162acc2264b36cdf4c290fc776550a3,"New York: New Directions, 2005",30,2,2
50e87c0d472446dcdbfd66fda230a33b,"Tōkyō: Daiichi Shobō, Shōwa 6-9 [1931-1934] 東京: 第一書房, 昭和6-9 [1931-1934] Shohan 初版",85,2,2
a77059c58c2a1a742e13ed477d80251f,"Frankfurt am Main: Suhrkamp, 2004 1. Aufl.",42,2,2
8f3c550313019c5fee3560a2d873c4fe,"Frankfurt am Main; New York: Peter Lang, 2006",45,2,2
ab6e38ce1d733c6ff5d537de334f31ce,"[Croissy-Beaubourg]: Aden, c2007",32,2,2
d1458bb54878b70b57fcfdb78eacbc32,"London: [s.n.], 1642",20,2,2
427aa91310fc83d5dc76241b6528d16a,"Taipei: Zheng zhong shu ju, [1967] 臺北: 正中書局, [1967]",51,2,2
d4a027968756019e2398d433b322bba1,"Lanham: University Press of America, ©1988",42,2,2
8688ab1fa04a591f8519e827db76c082,"Ann Arbor, Mich: UMI Research Press, c1983",42,2,2
acdc875b4790833d8d4c758180aea1d9,"[Buffalo, N.Y.]: Poetry/Rare Books Collection, University Libraries, State University of New York at Buffalo, 1982",114,2,2
76972e09929dafff7882e0524db25b19,"Minneapolis: Lerner Publishing Group, 2015",42,2,2
c7babf8dee7307b9ab7e8cccf59e57d1,"New Haven: Yale University Press, ©1989",39,2,2
c52ca928b55f3d39cd4c131fdb337248,"New York: D. Appleton and Co, 1885",34,2,2
b4d4cf174b133cf8b14fbdcab9d5a3e6,"Beijing: Beijing tu shu guan chu ban she, 2004 北京: 北京圖書館出版社, 2004 Di 1 ban 第1版",78,2,2
a51c29ecce187aaace07030b0e08748d,1984,4,2,2
3cf3e2b765916bf065c9c66cd2cff92c,"[London]: Printed for William Sheares, at the signe of the Bible in Covent-garden, 1643",87,2,2
b71a9d32c2f77a77ad3952ed396d87d4,"New York: New Directions, 2006 Cloth ed.",40,2,2
817984c26884c7f7fb7db9890918483d,"London: Printed by M. Flesher, and are to be sold by Andr. Crooke, 1647",71,2,2
dfcc6add09aff7464891a69012addc56,"Washington, DC: 1915",20,2,2
a17d08843643a8c39743ef865865d9d0,"London: Printed for Nath. Brooke ..., 1654",42,2,2
97e3bad3f3c9ad8091888d56265a8efc,"Oxford: J. Vincent, 1841",24,2,2
552f89f015c5181ace07070c31de1d78,"Washington: G.S. Gideon, printer, 1858",38,2,2
14e8ad307edd937bf6ed4e6aaddec0cc,"Brooklyn: J.W. Smith Jr, [1871]",31,2,2
d57ec06b3a3ffc990609b91b3dcd11af,"Kassel; New York: Bärenreiter, 1987, c1975",43,2,2
ed8843fa532011d70a74ae1ba4892a71,"New Haven [Conn.]: Yale University Press, ©2009",47,2,2
a7e574dc84b597fb3c3627a5fd8d9e8f,"[Beijing]: Ren min chu ban she, Xin hua shu dian fa xing, 1979 [北京]: 人民出版社, 新華書店发行, 1979 Di 1 ban 第1版",101,2,2
89cd5a5cc47ae0c1b1fee19c917ab11f,"Le Bouscat: Esprit du temps, c2002",34,2,2
2ad9b01c2f722daaaf6b9ef57af8b936,"London; New York: Boosey & Hawkes, [1968]",41,2,2
9c52bcc2028636ffe0b8cd6ba050254,"London: Printed by Miles Flesher, 1628",38,2,2
13d0b488a6d234f64dcaa3a497a6c6c1,"商务印书馆, 1935",11,2,2
12b999717b1c39a476eb646719ee1a76,"London: Wyman & Sons, [1883]",28,2,2
aa386a83e4cd4ff65f6e5ae0f7ddd66d,"Londini: [Printed by Miles Flesher], impensis Nath: Butter, M.DC.XXXV. [1635]",77,2,2
