hash,string,length,frequency,field_count
d6dad3308754ec68207285f0db7caa55,Musicals--Excerpts; Popular music--1921-1930,44,2,2
8dc5c007ff491e7e34cdb2cb0517b112,Seafaring life--Fiction,23,2,2
62b2b3f0ed0d04d644a56387ed2cdf87,Algebra; Mathematics,20,2,2
2361cfc4f592db842d67d4877d9a0d32,"Da xue; Zhu, Xi, 1130-1200. Jin si lu; 朱熹, 1130-1200. 近思錄; Wang, Yangming, 1472-1529. Da xue wen; 王陽明, 1472-1529. 大學問; Neo-Confucianism--China; Philosophy, Chinese",163,2,2
9bdfc179df0650b8c1aa34f8da91ef00,Great Britain. Treasury--Officials and employees--Early works to 1800,69,2,2
109c5fbb3bf50366b1d36d022123f3ad,"Songs (High voice) with chamber orchestra; Songs (High voice) with piano; Joyce, James, 1882-1941--Musical settings; Carroll, Lewis, 1832-1898--Musical settings",160,2,2
1ce2c184d27c75d2003603de5cfa657d,"Rome--History--Civil War, 49-45 B.C.--Poetry; Pharsalus, Battle of, Farsala, Greece, 48 B.C.--Poetry; Epic poetry, Latin; Annotations (Provenance)--16th century",160,2,2
f76863ce15108f5b07320ac7326fd1eb,Gay men--United States--Fiction; Autobiographical fiction; LGBTQ resource,73,2,2
e61bcdd48dac32f77fe82364e55578a1,Music--19th century; String trios,33,2,2
5ba9015f87f46cf3cd4395cfa82d6300,"Lucan, 39-65. Pharsalia. Liber 9; Epic poetry, Latin--History and criticism; Rome--History--Civil War, 49-45 B.C.--Literature and the war",137,2,2
a6b7c72b091297f85c5f86aae9fe6dd5,Fine Arts,9,2,2
8c14f666359c8f6fc335b96b7814593d,"Mauriac, François, 1885-1970--Criticism and interpretation; Mauriac, François, 1885-1970--Bibliography; French literature--20th century--History and criticism; France--Social conditions--20th century",201,2,2
46cf7feb56d86174df5a56218c209cfd,"Faulkner, William, 1897-1962. Sanctuary; Faulkner, William, 1897-1962--Manuscripts; Manuscripts, American; Faulkner, William. Sanctuary; Faulkner, William--Manuscripts; Fiction in English; American writers; Sanctuary; Textual criticism",235,2,2
a57af2cfa774e35fb23a0cb47818df06,Ship chandlers; Billheads,25,2,2
